time,temperature,humidity,wind_speed_mps,cloud_cover,pressure
2025-05-21 00:00:00+00:00,6.2,88.0,3.1,93.1,1016.1
2025-05-21 01:00:00+00:00,6.0,86.0,3.5,89.9,1015.5
2025-05-21 02:00:00+00:00,5.8,84.0,3.6,96.5,1014.9
2025-05-21 03:00:00+00:00,5.6,84.0,3.3,99.7,1014.1
2025-05-21 04:00:00+00:00,5.3,87.0,3.9,100.0,1013.3
2025-05-21 05:00:00+00:00,4.7,92.0,3.3,96.3,1013.0
2025-05-21 06:00:00+00:00,5.1,87.0,2.4,99.8,1012.7
2025-05-21 07:00:00+00:00,5.6,81.0,2.9,75.3,1012.5
2025-05-21 08:00:00+00:00,6.5,72.0,1.9,85.2,1012.1
2025-05-21 09:00:00+00:00,7.4,69.0,3.2,84.4,1012.0
2025-05-21 10:00:00+00:00,7.9,63.0,3.4,81.5,1011.8
2025-05-21 11:00:00+00:00,8.3,58.0,5.3,90.7,1011.7
2025-05-21 12:00:00+00:00,8.6,74.0,3.8,74.0,1011.6
2025-05-21 13:00:00+00:00,8.6,85.0,2.0,96.5,1011.5
2025-05-21 14:00:00+00:00,8.6,86.0,1.4,92.8,1011.7
2025-05-21 15:00:00+00:00,8.6,68.0,1.8,72.2,1011.3
2025-05-21 16:00:00+00:00,7.7,92.0,3.8,89.6,1011.9
2025-05-21 17:00:00+00:00,7.7,82.0,0.6,95.3,1012.1
2025-05-21 18:00:00+00:00,7.8,84.0,1.3,87.5,1012.1
2025-05-21 19:00:00+00:00,7.9,81.0,1.6,93.0,1012.0
2025-05-21 20:00:00+00:00,7.7,79.0,1.2,99.7,1012.3
2025-05-21 21:00:00+00:00,7.5,72.0,4.2,99.3,1012.5
2025-05-21 22:00:00+00:00,7.1,74.0,4.5,99.8,1012.5
2025-05-21 23:00:00+00:00,6.8,74.0,4.9,99.9,1012.3
2025-05-22 00:00:00+00:00,6.3,76.0,4.9,100.0,1012.1
2025-05-22 06:00:00+00:00,7.2,78.0,2.1,34.4,1013.2
2025-05-22 12:00:00+00:00,11.2,47.0,4.2,95.3,1012.7
2025-05-22 18:00:00+00:00,10.5,61.0,4.0,98.8,1013.1
2025-05-23 00:00:00+00:00,8.3,78.0,3.9,100.0,1013.1
2025-05-23 06:00:00+00:00,8.3,84.0,4.0,100.0,1011.6
2025-05-23 12:00:00+00:00,10.7,85.0,3.8,100.0,1009.5
2025-05-23 18:00:00+00:00,10.7,88.0,3.1,100.0,1008.9
2025-05-24 00:00:00+00:00,7.9,90.0,2.5,100.0,1007.4
2025-05-24 06:00:00+00:00,9.3,92.0,2.7,100.0,1004.5
2025-05-24 12:00:00+00:00,13.5,66.0,3.2,100.0,1004.1
2025-05-24 18:00:00+00:00,12.1,80.0,3.7,100.0,1002.6
2025-05-25 00:00:00+00:00,9.4,80.0,3.3,89.8,1002.1
2025-05-25 06:00:00+00:00,11.1,65.0,3.7,41.4,1000.8
2025-05-25 12:00:00+00:00,15.5,56.0,4.4,96.1,1000.5
2025-05-25 18:00:00+00:00,14.5,60.0,3.2,92.2,1000.0
2025-05-26 00:00:00+00:00,10.0,80.0,2.4,85.5,1001.1
2025-05-26 06:00:00+00:00,11.9,73.0,1.7,25.0,1004.0
2025-05-26 12:00:00+00:00,16.9,55.0,2.6,93.0,1005.9
2025-05-26 18:00:00+00:00,15.7,72.0,2.1,69.5,1003.5
2025-05-27 00:00:00+00:00,10.5,86.0,1.6,91.4,1004.6
2025-05-27 06:00:00+00:00,12.1,83.0,1.6,97.7,1006.5
2025-05-27 12:00:00+00:00,14.8,82.0,2.6,97.7,1006.5
2025-05-27 18:00:00+00:00,14.1,92.0,2.6,99.6,1007.3
2025-05-28 00:00:00+00:00,11.0,86.0,1.9,98.4,1006.8
2025-05-28 06:00:00+00:00,12.6,81.0,2.1,96.9,1007.7
2025-05-28 12:00:00+00:00,15.8,55.0,2.8,64.8,1007.2
2025-05-28 18:00:00+00:00,15.9,69.0,2.2,84.4,1008.3
2025-05-29 00:00:00+00:00,10.9,86.0,1.6,100.0,1009.5
2025-05-29 06:00:00+00:00,12.3,87.0,1.7,100.0,1006.4
2025-05-29 12:00:00+00:00,14.8,80.0,2.9,98.4,1006.3
